"Origin domain","Origin page","link"
"alafrenchfood.com","https://alafrenchfood.com/en/all-you-ever-wanted-to-know-about-tea/","https://www.habitat-jardin.ch/"
"alafrenchfood.com","https://alafrenchfood.com/en/10-things-to-do-in-naples-for-the-weekend/","http://www.pizzeriadimatteo.com)/"
"alafrenchfood.com","https://alafrenchfood.com/lancement-de-la-nouvelle-collaboration-special-t-et-kusmi-tea/","https://www.habitat-jardin.ch/"
"alafrenchfood.com","https://alafrenchfood.com/10-choses-a-faire-a-naples-pour-le-weekend/","http://www.pizzeriadimatteo.com)/"
"nawai-li.com","https://nawai-li.com/fr/gateau-chocolat-sans-sucre-raffine/","http://Www.dailylifeofly.com"
"nawai-li.com","https://nawai-li.com/fr/energy-balls-aux-dattes/","https://palmyradelights.ch/en/shop/"
"nawai-li.com","https://nawai-li.com/fr/granola-au-chocolat/","http://insta%20spmodecaprice"
"nawai-li.com","https://nawai-li.com/fr/muffins-sans-sucre-ajoute/","https://palmyradelights.ch/fr/boutique/"
"nawai-li.com","https://nawai-li.com/fr/muesli-aux-myrtilles/","https://palmyradelights.ch/fr/shop/medjool-california-3/"
"nawai-li.com","https://nawai-li.com/fr/muesli-aux-myrtilles/","https://palmyradelights.ch/fr/shop/palmyra-cooking-3kg-pitted-4/"
"nawai-li.com","https://nawai-li.com/fr/muesli-aux-myrtilles/","https://palmyradelights.ch/fr/boutique/"
"nawai-li.com","https://nawai-li.com/en/blueberry-birchermuesli/","https://palmyradelights.ch/en/shop/medjool-california-2/"
"nawai-li.com","https://nawai-li.com/en/blueberry-birchermuesli/","https://palmyradelights.ch/en/shop/palmyra-cooking-3kg-pitted/"
"nawai-li.com","https://nawai-li.com/en/blueberry-birchermuesli/","https://palmyradelights.ch/en/shop/"
"nawai-li.com","https://nawai-li.com/fr/hoummus/","http://Www.papertown.ch"
